Date,ID,replicate,Precursor.Ion.Name,MassFeature_Column,QC_area,ID_rep,PresAbs,LogArea,CultureID_short,Org_Name,Org_Type,Org_Type_Specific,BioVol_perFilter_uL,Species,biovolArea,LogBioArea,Column,z,Vol_recon_uL,RP_stdVolpersmpVol,Cells filtered,Identification,RFmax,RFmin,RF,RFFlag,RFratio,intracell_conc_umolL,Emperical.Formula,C,N,intracell_conc_umolCL,intracell_conc_umolNL,totalCmeasured_uM,totalNmeasured_uM,molFractionC,molFractionN
161114,7803,B,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,7803_B,0,0,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.20472,Synechococcus sp.,NA,0,HILIC,-1,400,1.5,707997613.8,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,4930625.295771156,555048.9176445937,NA,NA
161114,7803,F,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,7803_F,0,0,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.18928,Synechococcus sp.,NA,0,HILIC,-1,400,1.5,754840255.6,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,6262638.653194774,756093.3570301211,NA,NA
161114,8102,A,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8102_A,0,0,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.708,Synechococcus sp.,NA,0,HILIC,-1,400,1.5,2204716157,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,13720442.944591278,2086931.7475424618,NA,NA
161114,8102,F,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8102_F,0,0,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.75484,Synechococcus sp.,NA,0,HILIC,-1,400,1.5,2189278433,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,11983957.231154906,1698724.548798922,NA,NA
161114,8501,B,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8501_B,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.711258,Crocosphaera watsonii,NA,0,HILIC,-1,400,1.5,92781450,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,712866.4531212196,164063.0812378006,NA,NA
161114,8501,C,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8501_C,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,5.351031818,Crocosphaera watsonii,NA,0,HILIC,-1,400,1.5,133775795.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,613246.5412452533,133369.3709417625,NA,NA
161114,8501,D,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8501_D,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.515528571,Crocosphaera watsonii,NA,0,HILIC,-1,400,1.5,87888214.29,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,604378.7345706346,147516.02142890566,NA,NA
161114,MED4,D,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,MED4_D,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.390883343,Prochlorococcus marinus,NA,0,HILIC,-1,400,1.5,2171574129,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,8042080.774114449,1653992.031992632,NA,NA
161114,MED4,E,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,MED4_E,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.346499459,Prochlorococcus marinus,NA,0,HILIC,-1,400,1.5,1924996997,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,10389935.887522778,2189066.4808949623,NA,NA
161114,MED4,F,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,MED4_F,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.395070736,Prochlorococcus marinus,NA,0,HILIC,-1,400,1.5,2194837423,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,10197497.638423346,2147336.363253138,NA,NA
