Date,ID,replicate,Precursor.Ion.Name,MassFeature_Column,QC_area,ID_rep,PresAbs,LogArea,CultureID_short,Org_Name,Org_Type,Org_Type_Specific,BioVol_perFilter_uL,Species,biovolArea,LogBioArea,Column,z,Vol_recon_uL,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFFlag,RFratio,intracell_conc_umolL,Emperical.Formula,C,N,intracell_conc_umolCL,intracell_conc_umolNL,totalCmeasured_uM,totalNmeasured_uM,molFractionC,molFractionN
161114,7803,B,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,7803_B,0,0,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.20472,Synechococcus sp.,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,4718981.570901104,558231.7604837819,NA,NA
161114,7803,F,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,7803_F,0,0,7803,Synechococcus sp. 7803,Cyanobacteria,Synechococcus,2.18928,Synechococcus sp.,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,6011251.948280563,759592.8111245217,NA,NA
161114,8102,A,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8102_A,0,0,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.708,Synechococcus sp.,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,13363165.341755811,2090318.423129881,NA,NA
161114,8102,F,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8102_F,0,0,8102,Synechococcus sp. 8102,Cyanobacteria,Synechococcus,0.75484,Synechococcus sp.,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,11646831.496476231,1700738.8671021776,NA,NA
161114,8501,B,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8501_B,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.711258,Crocosphaera watsonii,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,680722.6028241821,156064.1746142665,NA,NA
161114,8501,C,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8501_C,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,5.351031818,Crocosphaera watsonii,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,590419.8863843494,127698.00404990898,NA,NA
161114,8501,D,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,8501_D,0,0,8501,Crocosphaera watsonii WH8501,Cyanobacteria,Crocosphaera,3.515528571,Crocosphaera watsonii,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,574875.3967023096,140166.1843711043,NA,NA
161114,MED4,D,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,MED4_D,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.390883343,Prochlorococcus marinus,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,8045900.444145334,1658006.3158609546,NA,NA
161114,MED4,E,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,MED4_E,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.346499459,Prochlorococcus marinus,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,10396740.35479485,2194449.861167362,NA,NA
161114,MED4,F,I124.0064R10.88_HILICNeg,I124.0064R10.88_HILICNeg_X_HILICNeg,NA,MED4_F,0,0,MED4,Prochlorococcus marinus MED4,Cyanobacteria,Prochlorococcus,0.395070736,Prochlorococcus marinus,NA,0,HILIC,-1,400,1.5,Taurine,32725702,21202732,28341728.666666668,NA,0.9593120302347369,NA,C2H7NO3S,2,1,NA,NA,10198681.655217355,2150952.653354665,NA,NA
